HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Bournemouth,Chelsea,36,31,64,38,326,410,123,132,354,350,129,184,62,68,0,3,3.3,3.5,2.15,34,33,39,39
Man City,Leeds,87,43,30,67,528,418,200,134,310,415,212,179,43,72,1,2,1.16,8.5,15,33,34,79,30
Wolves,Aston Villa,29,46,50,42,382,389,119,136,405,371,168,143,74,65,6,1,2.87,3.3,2.5,34,34,37,54
Tottenham,Crystal Palace,63,35,57,46,472,376,179,121,377,405,181,162,68,75,3,3,1.8,3.8,4.2,34,34,54,40
Liverpool,Brentford,66,52,44,44,534,357,189,143,343,320,206,148,47,47,1,1,1.44,5,6,34,34,59,50
Newcastle,Arsenal,62,81,27,39,483,544,170,185,340,326,234,200,54,48,2,0,2.45,3.75,2.62,33,34,65,78
West Ham,Man United,37,49,50,40,420,488,125,180,337,373,182,164,42,71,0,2,3.4,3.75,2.05,34,33,34,63
Fulham,Leicester,45,46,46,59,382,382,131,134,364,371,161,120,75,53,1,2,2.62,3.5,2.6,34,34,45,30
Brighton,Everton,62,28,40,52,516,380,200,134,342,350,203,150,44,71,0,2,1.36,5,8.5,32,34,55,29
Nottingham,Southampton,30,28,62,60,335,373,106,125,391,391,114,140,77,66,0,0,2.1,3.6,3.4,34,34,30,24
